artist,song_or_album,link
Doechii,"Alligator Bites Never Heal
Album wydany w 2024 roku, zdobył średnią ocenę 79 na Metacritic.","https://spotify.com/Doechii/Alligator_Bites_Never_Heal
Album_wydany_w_2024_roku,_zdobył_średnią_ocenę_79_na_Metacritic."
Geordie Greep,"Live at TV Eye
Album koncertowy wydany w 2024 roku, zyskał uznanie krytyków za energetyczne wykonania na żywo.","https://spotify.com/Geordie_Greep/Live_at_TV_Eye
Album_koncertowy_wydany_w_2024_roku,_zyskał_uznanie_krytyków_za_energetyczne_wykonania_na_żywo."
Kendrick Lamar,"GNX
Najnowszy album Kendricka Lamara z 2024 roku, osiągnął średnią ocenę 87 na Metacritic, plasując się na szczycie listy najlepszych albumów hip-hopowych roku.","https://spotify.com/Kendrick_Lamar/GNX
Najnowszy_album_Kendricka_Lamara_z_2024_roku,_osiągnął_średnią_ocenę_87_na_Metacritic,_plasując_się_na_szczycie_listy_najlepszych_albumów_hip-hopowych_roku."
Cindy Lee,"Diamond Jubilee
Podwójny album wydany w 2024 roku, zawierający 32 utwory, dostępny cyfrowo na stronie artysty.","https://spotify.com/Cindy_Lee/Diamond_Jubilee
Podwójny_album_wydany_w_2024_roku,_zawierający_32_utwory,_dostępny_cyfrowo_na_stronie_artysty."
The The,"Ensoulment
Pierwszy album studyjny zespołu od prawie 25 lat, wydany w 2024 roku, zawiera utwór ""Cognitive Dissident"".","https://spotify.com/The_The/Ensoulment
Pierwszy_album_studyjny_zespołu_od_prawie_25_lat,_wydany_w_2024_roku,_zawiera_utwór_""Cognitive_Dissident""."
Redman,"Muddy Waters
Klasyczny album hip-hopowy wydany w 1996 roku, uważany za jedno z najlepszych dzieł Redmana.","https://spotify.com/Redman/Muddy_Waters
Klasyczny_album_hip-hopowy_wydany_w_1996_roku,_uważany_za_jedno_z_najlepszych_dzieł_Redmana."
Charles Lloyd,"The Sky Will Still Be There Tomorrow
Nowy podwójny album jazzowego saksofonisty Charlesa Lloyda, wydany w 2024 roku, z udziałem Jasona Morana, Larry'ego Grenadiera i Briana Blade'a.","https://spotify.com/Charles_Lloyd/The_Sky_Will_Still_Be_There_Tomorrow
Nowy_podwójny_album_jazzowego_saksofonisty_Charlesa_Lloyda,_wydany_w_2024_roku,_z_udziałem_Jasona_Morana,_Larry'ego_Grenadiera_i_Briana_Blade'a."
Common & Pete Rock,"The Auditorium Vol. 1
Wspólny album rapera Common i producenta Pete Rocka, wydany w 2024 roku, zdobył średnią ocenę 78 na Metacritic.","https://spotify.com/Common_&_Pete_Rock/The_Auditorium_Vol._1
Wspólny_album_rapera_Common_i_producenta_Pete_Rocka,_wydany_w_2024_roku,_zdobył_średnią_ocenę_78_na_Metacritic."
Charli XCX,"BRAT
Album studyjny wydany w 2024 roku, dostępny na winylu i CD.","https://spotify.com/Charli_XCX/BRAT
Album_studyjny_wydany_w_2024_roku,_dostępny_na_winylu_i_CD."
Joel Ross,"Nublues
Album jazzowego wibrafonisty Joela Rossa, wydany w 2024 roku przez Blue Note Records.","https://spotify.com/Joel_Ross/Nublues
Album_jazzowego_wibrafonisty_Joela_Rossa,_wydany_w_2024_roku_przez_Blue_Note_Records."
